id,FEMALE,studyethraw,ETHN_CMP,do1,do2,do3,do4,do5,do6,do7,psolv1,psolv2,psolv3,psolv4,psolv5,psolv6,psolv7,psolv8,SOC_STRS,BOTHR_U,negmood1,posmood1
23422,1,4,4,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,5,2,2.6
23425,0,7,5,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,NA,1.5,3.2
23444,1,5,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,5,1.6,2.2
23501,1,5,2,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,5,3.8,1
23505,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23506,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23510,1,3,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2,2.2,1.6
23515,0,5,2,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,2,3.2,2.8
23518,1,8,5,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,2,1.8,3.4
23519,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23520,1,5,2,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,3,3.2,2.4
23524,1,4,4,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,4,2.6,2
23525,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23527,0,4,4,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1.4,3.2
23528,1,4,4,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,4,3.2,2.2
23529,1,4,4,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,3,1,3.8
23600,1,8,5,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,NA,2,1.2,2.8
23604,0,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,3.2
23617,0,4,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,NA,1,3.6
23623,1,8,5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,2.2,1.6
23700,1,5,2,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,4,3.6,2.2
23709,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23714,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,3.6
23725,0,4,4,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,2.8
23741,0,4,4,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1.6,3.4
23748,0,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
